"MLS#","PROPERTY TYPE","ADDRESS","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","LATITUDE","LONGITUDE"
72926930,"Single Family Residential","245 Edendale St",1104,234900,3,1,"Springfield",1008,6242,1943,30,233,,"Active",42.1463728,-72.5632179
72926849,"Single Family Residential","226 Laurelton St",1109,264900,3,1.5,"Springfield",1470,5001,2007,31,180,,"Contingent",42.120683,-72.531043
72926815,"Single Family Residential","43 Lyons St",1151,219999,4,2,"Indian Orchard",1626,6059,1925,31,135,,"Active",42.1580351,-72.4949469
72926740,"Single Family Residential","87 Kingsley",1104,215900,2,1,"Springfield",948,5750,1924,31,228,,"Contingent",42.1310446,-72.5704611
72926689,"Single Family Residential","69 Monrovia",1104,184900,3,1,"Springfield",1092,5001,1923,31,169,,"Contingent",42.1390038,-72.56048
72926574,"Single Family Residential","112 Quaker Rd",1118,219900,2,1,"East Forest Park",1104,14553,1950,31,199,,"Active",42.0966657,-72.5449648
72926455,"Single Family Residential","101 Lamont St",1119,209900,2,1,"Springfield",1037,7501,1950,32,202,,"Active",42.1284239,-72.5252968
72926417,"Multi-Family (2-4 Unit)","96-98 Wait St",1104,150000,6,2,"Springfield",2655,5001,1923,32,56,,"Active",42.125371,-72.5882796
72925457,"Multi-Family (2-4 Unit)","97-99 Fernwold St",1104,139900,2,2,"Springfield",1196,7501,1941,34,117,,"Active",42.1400232,-72.5681998
72925458,"Single Family Residential","67 Thornton St",1104,229000,2,1,"Springfield",1172,5001,1932,34,195,,"Active",42.1444711,-72.563576
72925399,"Single Family Residential","104 Bowdoin St",1109,384900,7,4.5,"Springfield",3334,14248,1896,35,115,,"Active",42.1137362,-72.5762832
72925358,"Multi-Family (2-4 Unit)","21-23 Oakwood Ter",1109,279900,6,3,"Springfield",1920,5001,1992,36,146,,"Active",42.1267079,-72.5575337
72924914,"Single Family Residential","157 Clearbrook Dr",1118,499900,4,2.5,"East Forest Park",2532,8712,2021,38,197,,"Active",42.0959019,-72.5131166
72924562,"Multi-Family (2-4 Unit)","22-24 Upland St",1104,219900,4,2,"East Springfield",2138,5166,1924,38,103,,"Active",42.1317284,-72.573035
72924527,"Single Family Residential","28 David St",1104,191000,2,1,"Springfield",927,5249,1925,38,206,,"Active",42.1300922,-72.5864484
72923310,"Single Family Residential","106 Greene St",1109,249900,5,2,"Springfield",2210,4870,1910,41,113,,"Contingent",42.1032852,-72.5636222
72923299,"Townhouse","1151 Dickinson St #1151",1108,209900,2,1.5,"Forest Park",1032,,1968,41,203,365,"Contingent",42.0684123,-72.5551083
72923283,"Single Family Residential","87 Balfour Dr",1118,220000,2,1,"East Forest Park",1008,15089,1943,41,218,,"Active",42.0973159,-72.5472638
72923278,"Single Family Residential","860 Plumtree Rd",1118,680000,3,2,"E. Forest Park",5081,41382,1949,41,134,,"Active",42.1042026,-72.5205913
72922935,"Single Family Residential","98 Wachusett St",1118,280000,3,2,"Springfield",1824,9714,1962,45,154,,"Active",42.0913623,-72.5156993
72922883,"Single Family Residential","15 Rencelau St",1118,299900,3,1.5,"Springfield",1934,6438,1928,46,155,,"Contingent",42.090011,-72.5408403
72922099,"Single Family Residential","10 Fairfield St",1108,275000,5,1.5,"Forest Park Historic District",3389,6686,1900,50,81,,"Active",42.086235,-72.5687514
72921784,"Vacant Land","0 William St (Ss)",1101,110000,,,"Springfield",,10000,,51,,,"Active",42.0977895,-72.5839316
72921763,"Single Family Residential","7 Searle Pl",1105,119000,3,1.5,"Springfield",1280,5885,1982,51,93,,"Active",42.0999807,-72.5649037
72921719,"Single Family Residential","87 Dorset",1108,204900,3,1,"Forest Park",1234,5001,1924,52,166,,"Contingent",42.0870545,-72.5423191
72921714,"Single Family Residential","111 Merrimac Ave",1104,249488,4,3,"Springfield",2100,6965,1949,52,119,,"Active",42.1284702,-72.5710156
72921518,"Single Family Residential","16 Partridge Dr",1119,235000,4,1,"Springfield",1008,10799,1970,52,233,,"Active",42.1256252,-72.5101994
72920813,"Vacant Land","0 Sabin St",1101,85000,,,"Springfield",,8198,,53,,,"Active",42.1534306,-72.5055342
72920723,"Single Family Residential","15 Gold St",1107,215000,3,1.5,"Liberty Heights",1242,6251,1919,53,173,,"Contingent",42.1291385,-72.5985024
72920511,"Single Family Residential","672 Sumner Ave",1108,234900,4,1.5,"Forest Park",2132,5105,1921,54,110,,"Active",42.0874975,-72.552347
72920261,"Single Family Residential","34 Tyrone St",1104,179000,3,1,"Springfield",1105,5101,1951,55,162,,"Active",42.1421154,-72.5721823
72920193,"Single Family Residential","193 Tyler St",1109,29987,3,1,"Springfield",1568,4391,1907,55,19,,"Active",42.1067858,-72.5663486
72919936,"Single Family Residential","185 Leyfred Ter",1108,254900,3,1.5,"Springfield",1822,5110,1926,56,140,,"Contingent",42.0920687,-72.5695038
72919919,"Single Family Residential","54 Commonwealth Ave",1108,235000,4,1.5,"Springfield",1960,5001,1899,56,120,,"Active",42.0845191,-72.5548886
72919898,"Single Family Residential","19 Villa Pkwy",1109,174900,4,1,"Springfield",1652,3751,1915,56,106,,"Active",42.111771,-72.5553045
72919846,"Single Family Residential","142 Windemere St",1104,229610,3,1.5,"Springfield",1385,5502,1922,57,166,,"Active",42.142808,-72.5634836
72918952,"Multi-Family (2-4 Unit)","147 Cedar St",1105,279900,6,3,"Springfield",2783,9344,1904,59,101,,"Active",42.1024861,-72.5699224
72918693,"Multi-Family (2-4 Unit)","76 Acushnet Ave",1105,299000,5,2,"Springfield",2194,6456,1900,60,136,,"Active",42.0931481,-72.5777148
72918148,"Multi-Family (2-4 Unit)","55-57 Lansing Pl",1108,348999,7,3,"Springfield",3691,4635,1909,61,95,,"Active",42.0887591,-72.5628665
72917268,"Multi-Family (2-4 Unit)","100 Oak St",1109,159900,6,2,"Springfield",1814,3027,1900,64,88,,"Active",42.106152,-72.57373
72915938,"Single Family Residential","37 Lexington St",1107,165000,3,1,"Springfield",1167,5567,1909,67,141,,"Active",42.1166749,-72.6011383
72915399,"Multi-Family (2-4 Unit)","54 Warner St",1108,285000,11,3.5,"Forest Park",3962,6652,1898,68,72,,"Active",42.084434,-72.5748739
72915239,"Multi-Family (2-4 Unit)","42 Fremont St",1105,275000,4,2,"Springfield",2798,7044,1916,68,98,,"Active",42.0960564,-72.5835975
72914765,"Multi-Family (2-4 Unit)","41 Eleanor Rd",1108,259900,6,3.5,"Springfield",3584,7366,1912,69,73,,"Active",42.0815186,-72.5431396
72914066,"Single Family Residential","28 Howes St",1118,429900,4,2.5,"Courtside",2000,2000,2021,73,215,,"Active",42.0889105,-72.5391196
72914061,"Single Family Residential","Lot 1 House 7 Snowden St",1119,465000,4,2.5,"Pine Point Boston Road",2200,7500,2021,73,211,,"Active",42.1248292,-72.5231113
72914041,"Single Family Residential","64 Castle St",1118,229000,4,1,"East Forest Park",1516,5001,1923,73,151,,"Active",42.0876424,-72.540563
72913868,"Multi-Family (2-4 Unit)","249 Saint James Blvd",1104,249900,4,2,"Springfield",1672,3602,1924,73,149,,"Active",42.1381789,-72.5628236
72913229,"Multi-Family (2-4 Unit)","418 Liberty St",1104,375000,9,3,"Springfield",3789,4260,1910,74,99,,"Active",42.1146187,-72.585844
72913137,"Single Family Residential","150 Winton St",1118,234900,2,1,"East Forest Park",999,6852,1943,74,235,,"Contingent",42.0993234,-72.5334924
72912532,"Multi-Family (2-4 Unit)","261 Wilbraham Rd",1109,270000,6,3,"Hill McKnight",3525,4892,1908,74,77,,"Active",42.1122329,-72.5545421
72912531,"Multi-Family (2-4 Unit)","84 Northampton Ave",1109,250000,6,2,"Hill McKnight",2976,4069,1909,74,84,,"Active",42.1092763,-72.5599717
72912990,"Single Family Residential","58 Fountain St",1108,210000,3,2,"Springfield",1431,5001,1930,75,147,,"Active",42.0804531,-72.5523933
72912867,"Multi-Family (2-4 Unit)","89-91 Ashley St",1105,250000,4,2,"Springfield",1966,10955,1911,75,127,,"Active",42.1006936,-72.5688131
72912734,"Multi-Family (2-4 Unit)","82-84 Marion St",1109,215000,6,3,"Hill McKnight",2033,3293,1896,75,106,,"Active",42.1139373,-72.5646218
